MOVIE,DIRECTOR,ACTOR,GENRE
2,Shankar,Rajinikanth,"Action, Science Fiction, Fantasy"
Sarkar,A.R. Murugadoss,Vijay,"Action, Drama"
Ratsasan,Ram Kumar,Vishnu Vishal,"Action, Adventure, Thriller, Crime"
96,C. Prem Kumar,Vijay Sethupathi,Romance
Vada Chennai,Vetrimaaran,Dhanush,"Action, Crime, Drama"
Imaikkaa Nodigal,R. Ajay Gnanamuthu,Nayanthara,"Action, Thriller, Drama, Crime"
Pariyerum Perumal,Mari Selvaraj,Kathir,"Romance, Drama"
Kaala,Pa. Ranjith,Rajinikanth,"Action, Crime, Drama"
Thaanaa Serndha Koottam,Vignesh Shivan,Suriya,"Action, Comedy, Crime"
Adanga Maru,Karthik Thangavel,Jayam Ravi,"Action, Thriller, Crime"
Irumbu Thirai,P. S. Mithran,Arjun Sarja,"Thriller, Action"
Maari 2,Balaji Mohan,Dhanush,"Action, Comedy"
Kadaikutty Singam,Pandiraj,Karthi,"Romance, Comedy, Family, Action"
U Turn,Pawan Kumar,Samantha Ruth Prabhu,"Thriller, Horror, Crime"
Kolamavu Kokila,Nelson Dilipkumar,Nayanthara,"Comedy, Thriller"
Nota,Anand Shankar,Vijay Deverakonda,Drama
Sei,Raj Babu,Nakul,"Drama, Romance, Thriller"
Lakshmi,A. L. Vijay,Prabhu Deva,"Family, Drama, Comedy"
Goli Soda 2,S. D. Vijay Milton,Samuthirakani,"Drama, Action"
Seethakathi,Balaji Tharaneetharan,Vijay Sethupathi,"Comedy, Drama"
Mannar Vagaiyara,Boopathy Pandian,Vimal,"Comedy, Romance"
Kanaa,Arunraja Kamaraj,Aishwarya Rajesh,"Drama, Family"
Tik Tik Tik,Shakti Soundar Rajan,Jayam Ravi,"Science Fiction, Thriller, Adventure"
Thuppakki Munai,Dinesh Selvaraj,Vikram Prabhu,"Romance, Action, Thriller"
Chekka Chivantha Vaanam,Mani Ratnam,Arvind Swamy,"Action, Crime, Thriller"
Gulaebaghavali,Kalyaan,Prabhu Deva,"Comedy, Romance"
Kalakalappu 2,Sundar C,Jiiva,"Action, Comedy"
Bhaskar Oru Rascal,Siddique,Arvind Swamy,"Comedy, Action, Romance"
Iravukku Aayiram Kangal,Mu. Maran,Arulnithi,"Action, Crime, Thriller"
Mohini,Ramana Madhesh,Trisha Krishnan,"Comedy, Horror, Thriller"
Vishwaroopam II,Kamal Haasan,Kamal Haasan,"Action, Thriller"
Torchlight,Abdul Majith,Sadha,Drama
Nimir,Priyadarshan,Udhayanidhi Stalin,"Comedy, Thriller"
Saamy²,Hari,Vikram,"Action, Thriller, Romance"
Silukkuvarupatti Singam,Chella Ayyavu,Vishnu Vishal,"Action, Comedy"
Annanukku Jey,La. Rajkumar,Dinesh Ravi,"Comedy, Drama"
Naachiyaar,Bala,Jyothika,"Crime, Thriller"
Marainthirunthu Paarkum Marmam Enna,R. Rahesh,Dhruva,"Family, Crime, Romance"
Sandakozhi 2,N. Linguswamy,Vishal Krishna,"Family, Action, Romance"
Sketch,Vijay Chandar,Vikram,Action
Yemaali,V. Z. Durai,Samuthirakani,"Thriller, Romance"
Tamizh Padam 2,C. S. Amudhan,Shiva,Comedy
Kaatrin Mozhi,Radha Mohan,Jyothika,"Comedy, Drama"
Vandi,Rajesh Balachandiran,Vidharth,"Action, Thriller"
Mohana,Ra Anand,Rajendran,Comedy
Oru Nalla Naal Paathu Solren,P. Arumugakumar,Vijay Sethupathi,"Adventure, Comedy, Action"
Pyaar Prema Kaadhal,Elan,Harish Kalyan,"Romance, Drama, Comedy"
Iruttu Araiyil Murattu Kuthu,Santhosh P. Jayakumar,Gautham Karthik,"Comedy, Horror"
Seemaraja,Ponram,Sivakarthikeyan,"Drama, Comedy, Romance, Action"
Diya,A. L. Vijay,Sai Pallavi,"Thriller, Romance, Horror"
Onaaigal Jakkiradhai,JPR,Kabali Vishwanth,"Horror, Drama"
Semma Botha Aagatha,Badri Venkatesh,Atharvaa Murali,"Romance, Action, Comedy"
Savarakathi,G. R. Adithya,Ram,"Drama, Family"
Merku Thodarchi Malai,Lenin Bharathi,Antony,Drama
Aan Devathai,Thamira,Samuthirakani,"Drama, Family"
Mercury,Karthik Subbaraj,Prabhu Deva,"Thriller, Horror"
Nagesh Thiraiyarangam,Mohamad Issack,Aari Arjuna,"Romance, Horror"
Raja Ranguski,Dharani Dharan,Metro Shirish,"Crime, Thriller, Romance"
Junga,Gokul,Vijay Sethupathi,"Action, Comedy"
Sema,Vallikanth,G. V. Prakash Kumar,"Action, Comedy"
Johnny,P Vetriselvan,Prabhu,"Action, Drama"
X Videos,Sajo Sundar,Ajay Raj,"Drama, Thriller"
Aaruthra,Pa. Vijay,Pa. Vijay,Drama
Andhra Mess,Jai,Bharat Raj,"Thriller, Action"
Pakshi,Jagadeesan Subu,Lakshmi Priyaa,"Thriller, Adventure"
Thimiru Pudichavan,Ganeshaa,Vijay Antony,"Action, Drama"
Madura Veeran,P. G. Muthiah,Shanmuga Pandian,"Action, Family"
Odu Raja Odu,Nishanth Ravindaran,Guru Somasundaram,"Comedy, Drama"
Kalavani Mappillai,Gandhi Manivasagam,Dinesh Ravi,"Action, Comedy, Romance"
Kalari,Kiran Chand,Krishna Kulasekaran,"Action, Drama"
60 Vayadhu Maaniram,Radha Mohan,Vikram Prabhu,"Family, Drama"
Sollividava,Arjun Sarja,Chandan Kumar,"Action, Drama, Romance"
Merlin,Keera,Vishnu Priyan,Drama
Jarugandi,Pitchumani,Jai Sampath,"Romance, Comedy, Action"
Utharavu Maharaja,Asif Kuraishi,Udhaya,"Romance, Fantasy, Comedy"
Veera,K. Rajaraman,Krishna Kulasekaran,"Romance, Comedy"
Baaram,Priya Krishnaswamy,Raju,Drama
Dhachka,Devik Rathod,Rajendra Chawla,Drama
Kutram Nadanthathu Enna,Unknown,Nassar,
Kaali,Kiruthiga Udhayanidhi,Vijay Antony,"Action, Drama"
Genius,Suseenthiran,Roshan,Drama
Kalki,Dhilip Kumar,Kishore,"Drama, Romance, Science Fiction"
Vidhi Mathi Ultaa,Vijay Balaji,Rameez Raja,"Drama, Comedy"
Billa Pandi,Saravana Sakthi,R. K. Suresh,"Action, Romance"
Kathiruppor Pattiyal,Balaiya D. Rajasekhar,Sachin Mani,"Romance, Comedy"
Ivanukku Engeyo Macham Irukku,A. R. Mukesh,Vimal,"Comedy, Romance"
Kaathadi,Kalyaan,Avishek Karthik,"Action, Comedy"
TEN RUPEES NOTE,MURALIDHARAN,AAKASH,Comedy
Traffic Ramasamy,Vicky Anand,S. A. Chandrasekhar,Drama
Mr. Chandramouli,Thiru,Gautham Karthik,"Romance, Action, Family"
Oru Kuppai Kathai,Kaali Rangasamy,Dinesh,"Comedy, Drama"
Kasu Mela Kasu,K. S. Palani,Mayilsamy,"Comedy, Romance"
33km From KL,K. S. Umaagaanthan,Ben G,"Mystery, Thriller"
Amaavasai,Rakesh Sawant,Jai Akash,"Drama, Horror, Thriller"
Echcharikkai,K. M. Sarjun,Sathyaraj,"Crime, Thriller, Horror"
Melnaattu Marumagan,MSS,Rajkamal,Drama
Asuravadham,M. Maruthupandian,M. Sasikumar,Action
Vanjagar Ulagam,Manoj Beedha,Guru Somasundaram,"Action, Crime, Thriller"
Inba Twinkle Lilly,R K Vidyadaran,Saranya Ponvannan,"Comedy, Drama"
Maniyaar Kudumbam,Thambi Ramaiah,Umapathy Ramaiah,"Comedy, Romance"
Kaala Koothu,M. Nagarajan,Prasanna,"Drama, Romance, Thriller"
Ghajinikanth,Santhosh P. Jayakumar,Arya,"Family, Comedy, Romance"
Vedigundu Pasangge,Vimala Perumal,Denes Kumar,"Comedy, Romance, Drama, Family"
Nadodi Kanavu,Veera Selva,Mahendran,"Drama, Action, Romance"
Avalukkenna Azhagiya Mugam,A. Kesavan,Vijay Karthik,
Yenda Thalaiyila Yenna Vekkala,Vignesh Karthik,Azhar,"Fantasy, Romance, Comedy"
Panjumittai,S. P. Mohan,Ma Ka Pa Anand,"Romance, Comedy, Fantasy"
Enga Kattula Mazhai,Sribalaji,Sonu Gowda,"Comedy, Drama"
Neeyum Naanum,Unknown,Bala Ganapathi William,
Kadal Kuthiraigal,Pugazhenthi Thangaraj,Rohini,Drama
Abhiyum Anuvum,B. R. Vijayalakshmi,Tovino Thomas,"Drama, Romance"
Villavan,Vassan,Vinod Mohana Sundaram,"Action, Adventure"
Padai Veeran,Dhana,Vijay Yesudas,"Drama, Action"
Pakka,S. S. Surya,Vikram Prabhu,"Comedy, Action"
Thirudathey Papa Thirudathey,Shalini Balasundaram,Saresh D7,"Romance, Comedy, Drama"
Atcham Thavir,S. S. Vikneshwaran,S. Gana,Thriller
Kaatu Paya Sir Intha Kaali,Youreka,V.G. Jaiwanth,"Drama, Action"
The Boy,Arunkumar Senthil,Vinodhini Vaidyanathan,Family
Koottali,SK Mathi,Sathish,"Romance, Crime, Thriller"
Meendum Vaa Arugil Vaa,J. Jaya Rajendra Cholan,Santhosh Prathap,"Thriller, Horror"
Variyavan,Karthik Gopal,Parthy KL,Drama
Pei Irukka Illaya,Pa. Ranjith Kumar,Livingston,"Comedy, Horror"
Bodha,Suresh G,Vicky,"Comedy, Crime"
Ezhumin,VP Viji,Vivek,Action
Sughamaai Subbulakshmi,Karthik Shamalan,Saresh D7,"Comedy, Drama, Romance"
Amutha,P. S. Arjun,Sriya Sree,"Thriller, Crime, Music"
Keni,Nishad M A,Jaya Prada,Drama
Vinodhan,Victor Jayaraj,Varun Kamal,Drama
Kilambitaangayaa Kilambitaangayaa,Razak,K. Bhagyaraj,"Comedy, Drama"
Koothan,Venky Al,La. Rajkumar,"Drama, Romance"
Saranalayam,Irasu Jaganathan,Ashwin Kumar,"Thriller, Action, Romance"
Kadikara Manithargal,Vaigarai Balan,Karunakaran,"Drama, Family, Romance"
Manusangada,Amshan Kumar,Rajeev Anand,Drama
Aaraam Thinai,Unknown,Ravi Mariya,
Vinveli Payana Kurippugal,R. Jayaprakash,Athvik Jalandhar,"Thriller, Comedy"
Ghora,Devendran Arunasalam,Karnan GCrak,Horror
Samuga Valaithalam,Eesan,Badri,Drama
Thollaikatchi,M. Sadiq Khan,Ashwin Kakumanu,"Romance, Comedy"
Roja Maaligai,Unknown,Amaran,"Drama, Thriller"
Kattam,Rajan Madhav,Sshivada Nair,"Thriller, Crime"
Papparapaam,Sasikumaran,Vinoth Kishan,"Romance, Comedy"
Ticket,Raaghav,Raaghav,"Thriller, Comedy, Romance"
6 Athiyayam,Ajayan Bala,Vinoth Kishan,"Thriller, Horror"
Puthiya Bruce Lee,Mulaiyur A. Sonai,Bruce,"Drama, Action"
Paalkaari,Om Pulli Jeevarathinam,Shivani Grover,"Drama, Romance, Thriller"
Thodraa,Mathuraj,Akshayaa Premnath,Drama
Power to the Children,Anna Kersting,Sri Priya,"Documentary, Animation"
Eghantham,Arsel Arumugam,Vivanth,"Drama, Romance"
Dhoni Kabadi Kuzhu,Ayyappan,Abhilash,Drama
Saavi,R. Subramanian,Prakash Chandra,"Action, Crime, Romance"
18.05.2009,K. Ganeshan,N. Subash Chandra Bose,Drama
Moondru Rasikarkal,Shebi Chowghat,Thalaivasal Vijay,"Action, Drama"
Munthal,Stunt Jayanth,Appu Krishna,Drama
312,AAKASH,AAKASH,Horror
Rajavin Paarvai Raniyin Pakkam,Alaguraj,Adhavaa,Drama
Azhagu Magan,Azhagan Selva,Arjjun Uday,"Drama, Romance"
Paadam,Rajashekar. I,Karthik,
Seyal,Ravi Appulu,Tharushi,"Drama, Romance"
Zombie Encounter,AAKASH,AAKASH,"Action, Horror"
Ondikatta,Bharani,Vikram Jagadish,"Drama, Romance"
Manusanaa Nee,Ghazali,Dr. Saleem,"Thriller, Crime"
Alaipesi,Murali Bharathi,Akil,
Antony,Kuttii Kumar,Nishanth Russo,"Thriller, Action"
Ilavatta Pasanga,K. Balaseenivasan,Nizhalgal Ravi,"Action, Romance, Drama"
Kannakkol,V. A. Kumaresan,Bharani,"Comedy, Romance"
Vayakkattu Mappilai,Vimal Murugan,Jothisha,Drama
Mangai Maanvizhi Ambugal,Vino,Mahi,"Drama, Comedy, Romance"
Dharavi,Pavithran,Sathish Bala,
Nari Vettai,Akash Sudhakar,Akash Sudhakar,Drama
Yaagan,Vinoth Thangavel,Sajan,"Drama, Romance"
Paarka Thonuthe,Jai Senthilkumar,Arsha,Drama
Kargil,Sivaani Senthil,Jishnu Menon,Drama
Tamizhananen,Sathish Ramakrishnan,Sathish Ramakrishnan,"Action, Drama, Thriller"
Sea,Parthiban Mayalagan,Panneer Selvam,Drama
Visiri,Vetri Mahalingam,Ram Saravanan,Drama
Ennodu Nee Irundhal,M. Sathyamoorthy,Mu Ra Sathya,"Romance, Thriller"
Veerathevan,Veeran Selvarasu,Kaushik,Drama
Uzhaikkum Paadhai,Unknown,unknown,Romance
Dec-13,Buvanesh,Khushi Gadhvi,"Horror, Action"
Slumdog Kodisvaran,Arul Raj,unknown,"Action, Thriller"
Super Deluxe,Thiagarajan Kumararaja,Vijay Sethupathi,"Comedy, Thriller, Drama, Crime"
Kaithi,Lokesh Kanagaraj,Karthi,"Action, Thriller, Crime"
Viswasam,Siva,Ajith Kumar,"Action, Drama"
Kanchana 3,Raghava Lawrence,Raghava Lawrence,"Comedy, Horror"
Bigil,Atlee,Vijay,"Action, Family, Drama"
Asuran,Vetrimaaran,Dhanush,"Action, Drama"
Petta,Karthik Subbaraj,Rajinikanth,"Drama, Action"
Adithya Varma,Gireeshaaya,Dhruv Vikram,"Drama, Romance"
Namma Veettu Pillai,Pandiraj,Sivakarthikeyan,"Comedy, Action"
Game Over,Ashwin Saravanan,Taapsee Pannu,"Thriller, Horror"
Peranbu,Ram,Mammootty,"Drama, Family"
Thadam,Magizh Thirumeni,Arun Vijay,"Crime, Mystery, Thriller, Action"
Thambi,Jeethu Joseph,Karthi,"Thriller, Action"
Raatchasi,Sy Gowtham Raj,Jyothika,"Thriller, Drama"
Dev,Rajath Ravishankar,Karthi,"Romance, Action"
Kaappaan,K. V. Anand,Suriya,"Action, Thriller"
Igloo,Bharath Mohan,Amzath Khan,"Drama, Romance"
Jackpot,Kalyaan,Jyothika,"Comedy, Action"
Vantha Rajavathaan Varuven,Sundar C,Silambarasan,"Drama, Action"
Sarvam Thaala Mayam,Rajiv Menon,G. V. Prakash Kumar,"Family, Music, Drama"
Kadaram Kondan,Rajesh M. Selva,Vikram,"Action, Thriller"
NGK,Selvaraghavan,Suriya,Drama
Nenjamundu Nermaiyundu Odu Raja,Karthik Venugopalan,Rio Raj,"Comedy, Romance"
Hero,P. S. Mithran,Sivakarthikeyan,"Crime, Thriller, Action"
Aadai,Rathna Kumar,Amala Paul,Thriller
Kee,Kalees,Jiiva,"Thriller, Action"
Action,Sundar C,Vishal Krishna,Action
Sillu Karuppatti,Halitha Shameem,Samuthirakani,"Drama, Romance"
Petromax,Rohin Venkatesan,Tamannaah Bhatia,"Comedy, Horror"
Ayogya,Venkat Mohan,Vishal Krishna,"Action, Crime, Drama"
Chithiram Pesuthadi 2,Rajan Madhav,Vidharth,"Drama, Thriller"
Dhilluku Dhuddu 2,Rambhala,Santhanam,"Comedy, Horror"
Mr. Local,M. Rajesh,Sivakarthikeyan,"Romance, Action, Comedy"
Adutha Saattai,M. Anbazhagan,Samuthirakani,"Action, Drama"
Devi 2,A. L. Vijay,Prabhu Deva,"Horror, Comedy"
Natpe Thunai,Parthiban Desingu,HipHop Tamizha Adhi,Drama
Alexander Babu: Alex in Wonderland,Unknown,Alexander Babu,"Comedy, Music"
Mehandi Circus,Raju Saravanan,Madhampatty Rangaraj,Drama
100,Sam Anton,Atharvaa Murali,Action
Hope,Fathima Shanaz,Fathima,Documentary
Comali,Pradeep Ranganathan,Jayam Ravi,"Comedy, Drama"
Oththa Seruppu Size 7,R. Parthiban,R. Parthiban,"Thriller, Drama"
Kuppathu Raja,Baba Baskar,G. V. Prakash Kumar,"Action, Comedy, Drama"
K-13,Barath Neelakantan,Arulnithi,Thriller
Aruvam,Sai Shekhar,Siddharth,"Thriller, Horror"
Boomerang,R. Kannan,Atharvaa Murali,"Action, Thriller"
Market Raja MBBS,Saran,Radhika Sarathkumar,"Comedy, Action"
Enai Noki Paayum Thota,Gautham Vasudev Menon,Dhanush,"Action, Drama, Romance"
Watchman,A. L. Vijay,G. V. Prakash Kumar,"Drama, Action, Thriller"
Monster,Nelson Venkatesan,S. J. Suryah,"Drama, Comedy, Family"
Kaalidas,Sri Senthil,Bharath Srinivasan,"Action, Crime"
Pettikadai,Esakki Karvannan,Samuthirakani,Drama
Agni Devi,J P R,Bobby Simha,
Airaa,K. M. Sarjun,Nayanthara,"Drama, Horror"
Nerkonda Paarvai,H. Vinoth,Ajith Kumar,"Drama, Action, Thriller"
90 ML,Anita Udeep,Oviya Helen,"Comedy, Drama"
Neeya 2,L. K. Suresh,Jai Sampath,"Horror, Thriller"
Kolaiyuthir Kaalam,Chakri Toleti,Nayanthara,"Crime, Thriller, Horror"
Sangathamizhan,Vijay Chandar,Vijay Sethupathi,"Action, Drama"
Ispade Rajavum Idhaya Raniyum,Ranjit Jeyakodi,Harish Kalyan,"Drama, Romance"
Dharma Prabhu,Muthukumaran,Yogi Babu,"Comedy, Drama, Fantasy"
Vennila Kabaddi Kuzhu 2,Selvashekaran,Vikranth,Drama
Dhanusu Raasi Neyargalae,Sanjay Bharathi,Harish Kalyan,"Romance, Comedy"
Pancharaaksharam,Balaji Vairamuthu,Santhosh Prathap,Thriller
Gurkha,Sam Anton,Yogi Babu,Comedy
Sivappu Manjal Pachai,Sasi,Siddharth,Thriller
Suttu Pidikka Utharavu,Ramprakash Rayappa,Vikranth,"Action, Thriller"
Nedunalvaadai,Selvakannan,Anjali Nair,Drama
Jiivi,V. J. Gopinath,Vetri,"Crime, Drama"
Kalavani 2,A. Sarkunam,Vimal,"Comedy, Drama"
Irandam Ulagaporin Kadaisi Gundu,Athiyan Athirai,Dinesh Ravi,"Drama, Thriller"
Bakrid,Jagadeesan Subu,Vikranth,Drama
Charlie Chaplin 2,Sakthi Chidambaram,Prabhu Deva,"Romance, Comedy, Drama"
Jada,Kumaran,Kathir,Drama
Sathru,Naveen Nanjundan,Kathir,"Romance, Action, Thriller"
Magamuni,Santha Kumar,Arya,"Drama, Thriller, Crime"
Lisaa,Raju Viswanath,Anjali,Horror
R. K. Nagar,Saravana Rajan,Vaibhav Reddy,"Romance, Comedy"
Nethraa,A. Venkatesh,Vinay Rai,"Drama, Thriller"
Vellai Pookal,Vivek Elangovan,Vivek,"Drama, Thriller, Crime"
Kolaigaran,Andrew Louis,Vijay Antony,"Action, Crime, Thriller, Drama"
Bodhai Yeri Budhi Maari,Chandru K R,Dheeraj,"Drama, Thriller"
Pottu,V. C. Vadivudaiyan,Bharath Srinivasan,Horror
A1,Johnson K.,Santhanam,Comedy
Gilli Bambaram Goli,D. Manoharan,Deepti Shetty,
Pei Ellam Pavam,Deepak Narayan,Arasu Nadarajan,"Comedy, Thriller"
Devarattam,M. Muthaiah,Gautham Karthik,"Action, Drama"
Sethum Aayiram Pon,Anand Ravichandran,Nivedhithaa Sathish,"Drama, Family"
Kanne Kalaimaane,Seenu Ramasamy,Udhayanidhi Stalin,"Drama, Family, Romance"
The Mosquito Philosophy,Jayaprakash Radhakrishnan,Pradeep Damodharan,Drama
Champion,Suseenthiran,Mirnalini Ravi,Drama
Back To School,AAKASH,ROHITKUMAR,"Action, Science Fiction"
Sigai,Jagadeesan Subu,Kathir,"Drama, Thriller"
Mei,S. A. Bhaskaran,Nicky Sundaram,Thriller
Kazhugu 2,Sathyasiva,Krishna Kulasekaran,"Drama, Thriller, Romance"
Azhiyatha Kolangal 2,MR Bharathi,Prakash Raj,Drama
Butler Balu,ML Sudhir,Yogi Babu,"Comedy, Drama"
Sindhubaadh,S. U. Arunkumar,Vijay Sethupathi,"Action, Thriller, Drama"
Gangs of Madras,C. V. Kumar,Sai Priyanka Ruth,"Crime, Drama"
Dha Dha 87,Vijay Sri G,Charu Haasan,"Action, Drama"
Kattumaram,Swarnavel Eswaran,Preeti Karan,Drama
Rocky: The Revenge,K. C. Bokadia,Srikanth,"Action, Crime, Drama"
Chennai Palani Mars,Biju Viswanath,Praveen Raja,"Fantasy, Drama, Comedy"
Zhagaram,Unknown,Nandha,"Adventure, Thriller"
Thirumanam,Cheran,Cheran,"Romance, Drama"
LKG,K. R. Prabhu,RJ Balaji,"Comedy, Drama"
Sixer,Chachi,Vaibhav Reddy,"Comedy, Romance"
Kalavu,Murali Karthick,Kalaiyarasan,"Mystery, Crime, Thriller"
Kolanji,Dhanaram Saravanan,Rajaji,"Family, Drama"
Saaral,DRL,Azhar,"Drama, Romance"
Kaadhal Munnetra Kazhagam,Manicka Sathya,Prithvi Pandiarajan,Drama
Goko Mako,Arun Kanth,Danusha,"Adventure, Drama, Romance, Comedy"
Puppy,Nattu Dev,Samyuktha Hegde,Comedy
To Let,Chezhian Ra,Santhosh Nambirajan,Drama
Thittam Pottu Thirudura Koottam,Sudar,Chandran,"Action, Comedy, Romance"
Natpuna Ennanu Theriyuma,Shiva Aravind,Kavin Raj,"Comedy, Romance"
July Kaatril,K. C. Sundaram,Ananth Nag,Romance
100% Kaadhal,M. M. Chandramouli,G. V. Prakash Kumar,"Drama, Romance, Family"
Simba,Arvind Sridhar,Bharath Srinivasan,"Comedy, Drama, Fantasy"
Gorilla,Don Sandy,Jiiva,"Comedy, Romance, Action"
Capmaari,S. A. Chandrasekhar,Jai Sampath,"Comedy, Drama, Romance"
Super Duper,Na. Arun Karthik,Dhruva,"Comedy, Thriller"
50/50,Sai Krishna,Sethu,
Zombie,Bhuvan Nallan,Yogi Babu,"Comedy, Horror"
Maadathy,Leena Manimekalai,Ajmina Kassim,Drama
Uriyadi 2,Vijay Kumar,Vijay Kumar,"Action, Thriller"
House Owner,Lakshmi Ramakrishnan,Kishore,"Drama, Family, Action"
En Kadhali Scene Podura,Ram Sevva,Mahesh Kumar,Drama
Kali Muni Tharisanam,DTS Indran,Ben G,"Drama, Fantasy, Mystery"
Vilambaram,K. A. Suriyanithi,Abhinay Vaddi,
Girls of Paadhai,Natalia Preston,unknown,Documentary
Thumbaa,Harish Ram LH,Darshan,Adventure
Neerthirai,P. S. Dharan,Nassar,Drama
Chennai 2 Bangkok,Sathish Santhosh,Jai Akash,"Action, Drama"
K. D.,Madhumita,Mu Ramaswamy,Drama
Thanimai,S. Sivaraman,Sonia Agarwal,
Thiruttukkalyanam,Sakthivelan,A. Venkatesh,
Iruttu,V. Z. Durai,Sundar C,"Horror, Thriller, Drama"
Bow Bow,S. Pradeep Kilikar,Master Ahaan,Drama
Miga Miga Avasaram,Suresh Kamatchi,Sri Priyanka,Drama
Kennedy Club,Suseenthiran,M. Sasikumar,"Drama, Thriller"
Pulanaivu,Sathish Natarajan,Irfan Zaini,"Crime, Romance, Thriller"
Thozhar Venkatesan,Maghasivan,Harishankar,Drama
Sagaa,Murugesh,Saran Shakthi,Crime
Kaanal Neer,Padmakumar M,Prakash Bare,"Drama, Family"
Podhu Nalan Karudhi,Zion,Karunakaran,Action
Aghavan,APG Elumalai,Kishore Ravichandran,"Drama, Mystery"
Kuthuoosi,Siva Shakthi,Dhileban,"Action, Drama"
Kaaviyyan,I. V. Parthasarathy,Shaam,"Thriller, Action"
TIGER,AAKASH,AVINASH,"Crime, Thriller"
Unmaiyen Velicham,Unknown,Kirthi Krishna,"Drama, Thriller"
Metro Maalai,Shobaan,Satish Kumar,"Drama, Romance"
Ganesha Meendum Santhippom,Ratheesh Erate,Prithvi Pandiarajan,"Comedy, Drama"
Thorati,P. Marimuthu,Shaman Mithru,Drama
Thirupathisamy Kudumbam,Suresh Shanmugam,Aishwarya Lekshmi,"Drama, Romance"
Venpa,K. Kavi Nanthan,Yuvaraj Krishnasamy,"Drama, Romance"
Maaniik,Martyn Nirmal Kumar,Ma Ka Pa Anand,"Romance, Comedy"
Thavam,R. Vijay Anand,Pooja Shree,"Action, Drama"
Ungala Podanum Sir,Sreejith Vijayan,Jithan Ramesh,"Comedy, Horror"
Embiran,Krishna Pandi,Radhika Preeti,
Perazhagi ISO,Unknown,Shilpa Manjunath,
Maanasi,Navaz Sulaiman,Naresh Madeswar,Drama
Karuthukalai Pathivu Sei,Rahul Paramahamsa,Upasana Rai,Thriller
Nungambakkam,Ramesh Selvan D S,Ajmal Ameer,"Crime, Thriller"
Natchathira Jannalil,Jaya Murugesan,Abishek Kumar,"Drama, Romance"
Pattipulam,J. Suresh,Amitha Rao,"Comedy, Romance"
Mosadi,K. Jagatheesan,Viju Iyyapasamie,"Drama, Thriller"
Kudimagan,Sathieshwaran,Nanditha Jennifer,Drama
Soundless Dance,Pradeepan Raveendran,Patrick Yogarajan,Drama
Seemathurai,Unknown,Varsha Bollamma,
Mayuran,Nandan Subbarayan,Anand Sami,"Crime, Thriller"
Unarvu,Subu,Suman Talwar,
PEI KADHAI,MURALIDHARAN,AAKASH,"Horror, Comedy"
Azhaggiye Thee,Logan,Saresh D'seven,"Drama, Romance"
Arandavanukku Irundathellam Pei,M. S. Selvam,Anu Krishna,
The Flowers and the Gemstones,Sriram Raja,unknown,Documentary
Kuttram Seiyel,Venkatesh,Bose Venkat,"Crime, Action, Thriller"
Khyla,Basker Sinouvassene,Dana Naidu,"Drama, Thriller"
Kadhal Mattum Vena,Sam Khan,Sam Khan,"Drama, Romance"
Scissors,N Praveen,Mukesh,"Action, Drama"
Marina Puratchi,M.S. Raj,Naveen Kumar,Drama
2 Glasses of Milk,Thiyagesh Ramalingam,Maathevan,Drama
Spot,Unknown,unknown,
Singapore Rajini,Arivu K Saaminatann,Singapore Rajini,"Drama, Romance, Comedy"
Stories at 8,Unknown,unknown,Drama
My Caste,R. P. Amudhan,unknown,
Oh My Kadavule,Ashwath Marimuthu,Ashok Selvan,"Comedy, Romance"
Psycho,Mysskin,Rajkumar Pitchumani,"Thriller, Drama"
Darbar,A.R. Murugadoss,Rajinikanth,"Action, Drama, Thriller"
Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,Dulquer Salmaan,"Comedy, Romance, Drama"
Putham Pudhu Kaalai,Sudha Kongara Prasad,Jayaram,"Drama, Family"
Andhaghaaram,V. Vignarajan,Arjun Das,Thriller
Naan Sirithal,Raana,HipHop Tamizha Adhi,"Comedy, Drama"
Ponmagal Vandhal,JJ Fredrick,Jyothika,"Thriller, Drama"
Mookuthi Amman,NJ Saravanan,Nayanthara,"Comedy, Fantasy"
Penguin,Eashvar Karthic,Keerthy Suresh,"Thriller, Mystery, Crime"
Nasir,Arun Karthick,Valavane Koumarane,Drama
Ka/Pae. Ranasingam,P. Virumandi,Aishwarya Rajesh,Drama
Asuraguru,Rajdeep,Vikram Prabhu,"Action, Thriller, Drama"
Dharala Prabhu,Krishna Marimuthu,Harish Kalyan,Comedy
Vaanam Kottatum,Dhana,Vikram Prabhu,"Drama, Family"
Varmaa,Bala,Dhruv Vikram,"Drama, Romance"
Oru Pakka Kathai,Balaji Tharaneetharan,Kalidas Jayaram,"Family, Drama"
Naanga Romba Busy,Badri,Yogi Babu,"Comedy, Drama"
Ettu Thikkum Para,Keera,Samuthirakani,Drama
Pattas,R. S. Durai Senthilkumar,Dhanush,"Action, Comedy"
Thatrom Thookrom,Arul Suriakannu,Teejay,Action
Draupathi,Mohan G,Richard Rishi,"Action, Drama"
Alti,M. J. Hussain,Manisha Jith,
Mafia,Karthick Naren,Arun Vijay,"Action, Drama"
Biskoth,R. Kannan,Santhanam,"Comedy, Romance"
College Kumar,Hari Santosh,Priya Vadlamani,"Comedy, Drama"
Naadodigal 2,Samuthirakani,M. Sasikumar,"Comedy, Drama"
Dagaalty,Vijay Anand,Santhanam,"Comedy, Action"
