MOVIE,DIRECTOR,ACTOR,GENRE
Escape Room,Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine","Action, Adventure, Horror"
Batman: The Killing Joke,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise","Animation, Action, Crime"
Shaft,Tim Story,"Samuel L. Jackson, Jessie T. Usher, Richard Roundtree, Regina Hall","Action, Comedy, Crime"
Now You See Me 2,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco","Action, Adventure, Comedy"
Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Sci-Fi"
The Purge: Anarchy,James DeMonaco,"Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez","Action, Horror, Sci-Fi"
Lucy,Luc Besson,"Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked","Action, Sci-Fi, Thriller"
Son of a Gun,Julius Avery,"Ewan McGregor, Brenton Thwaites, Alicia Vikander, Brendan Kerkvliet","Action, Crime, Drama"
Need for Speed,Scott Waugh,"Aaron Paul, Dominic Cooper, Imogen Poots, Kid Cudi","Action, Thriller"
Live by Night,Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina","Action, Thriller"
The Rover,David Michôd,"Guy Pearce, Robert Pattinson, Scoot McNairy, David Field","Action, Crime, Drama"
Redirected,Emilis Velyvis,"Vinnie Jones, Scot Williams, Gil Darnell, Oliver Jackson","Action, Comedy, Crime"
Valerian and the City of a Thousand Planets,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna","Action, Adventure, Fantasy"
Dead Man Down,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard","Action, Crime, Drama"
Pain & Gain,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub","Action, Comedy, Crime"
Tomorrowland,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy","Action, Adventure, Family"
Let's Be Cops,Luke Greenfield,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev","Action, Comedy, Crime"
How I Live Now,Kevin Macdonald,"Saoirse Ronan, Tom Holland, George MacKay, Harley Bird","Action, Adventure, Drama"
Kill List,Ben Wheatley,"Neil Maskell, MyAnna Buring, Harry Simpson, Michael Smiley","Action, Crime, Horror"
Colombiana,Olivier Megaton,"Zoe Saldana, Michael Vartan, Callum Blue, Jordi Mollà","Action, Drama, Thriller"
Here Comes the Boom,Frank Coraci,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann","Action, Comedy, Sport"
Savages,Oliver Stone,"Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively, Benicio Del Toro","Action, Crime, Drama"
Act of Valor,"Mike McCoy, Scott Waugh","Alex Veadov, Roselyn Sanchez, Nestor Serrano, Rorke Denver","Action, Adventure, Thriller"
Contraband,Baltasar Kormákur,"Mark Wahlberg, Giovanni Ribisi, Kate Beckinsale, Robert Wahlberg","Action, Crime, Drama"
Triple Frontier,J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund","Action, Thriller"
Killer Elite,Gary McKendry,"Jason Statham, Clive Owen, Robert De Niro, Dominic Purcell","Action, Crime, Thriller"
Faster,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Maggie Grace, Mauricio Lopez","Action, Crime, Drama"
